1,Date,AMZN,GOOG,META,MSFT,ORCL
226,2020-11-19,155.8509979248047,88.19599914550781,272.94000244140625,212.4199981689453,56.45000076293945
227,2020-11-20,154.97000122070312,87.1094970703125,269.70001220703125,210.38999938964844,55.70000076293945
228,2020-11-23,154.91949462890625,86.74299621582031,268.42999267578125,210.11000061035156,56.08000183105469
229,2020-11-24,155.9029998779297,88.44400024414062,276.9200134277344,213.86000061035156,57.56999969482422
230,2020-11-25,159.2534942626953,88.57150268554688,275.5899963378906,213.8699951171875,57.40999984741211
231,2020-11-27,159.76699829101562,89.65950012207031,277.80999755859375,215.22999572753906,57.7599983215332
232,2020-11-30,158.40199279785156,88.03700256347656,276.9700012207031,214.07000732421875,57.720001220703125
233,2020-12-01,161.00399780273438,89.90499877929688,286.54998779296875,216.2100067138672,58.7400016784668
234,2020-12-02,160.17649841308594,91.39749908447266,287.5199890136719,215.3699951171875,59.08000183105469
235,2020-12-03,159.3365020751953,91.3385009765625,281.8500061035156,214.24000549316406,59.27000045776367
236,2020-12-04,158.12899780273438,91.39949798583984,279.70001220703125,214.36000061035156,59.959999084472656
237,2020-12-07,157.89999389648438,90.9739990234375,285.5799865722656,214.2899932861328,59.79999923706055
238,2020-12-08,158.864501953125,90.92749786376953,283.3999938964844,216.00999450683594,59.029998779296875
239,2020-12-09,155.2100067138672,89.20649719238281,277.9200134277344,211.8000030517578,59.72999954223633
240,2020-12-10,155.07449340820312,88.7665023803711,277.1199951171875,210.52000427246094,59.47999954223633
241,2020-12-11,155.8209991455078,89.0885009765625,273.54998779296875,213.25999450683594,60.61000061035156
242,2020-12-14,157.84849548339844,88.00299835205078,274.19000244140625,214.1999969482422,60.7599983215332
243,2020-12-15,158.25599670410156,88.38849639892578,275.54998779296875,214.1300048828125,61.86000061035156
244,2020-12-16,162.04800415039062,88.1500015258789,275.6700134277344,219.27999877929688,62.779998779296875
245,2020-12-17,161.8040008544922,87.3949966430664,274.4800109863281,219.4199981689453,63.61000061035156
246,2020-12-18,160.08250427246094,86.55049896240234,276.3999938964844,218.58999633789062,65.05999755859375
247,2020-12-21,160.3090057373047,86.96849822998047,272.7900085449219,222.58999633789062,64.4800033569336
248,2020-12-22,160.3260040283203,86.17500305175781,267.0899963378906,223.94000244140625,65.1500015258789
249,2020-12-23,159.2635040283203,86.61900329589844,268.1099853515625,221.02000427246094,65.30000305175781
250,2020-12-24,158.63450622558594,86.94249725341797,267.3999938964844,222.75,64.95999908447266
